Artist,Month,Scrobbles
"Taylor Swift","January",90
"Taylor Swift","February",300
"Taylor Swift","March",267
"Taylor Swift","April",292
"Taylor Swift","May",150
"Taylor Swift","June",184
"Taylor Swift","July",233
"Taylor Swift","August",365
"Taylor Swift","September",203
"Taylor Swift","October",178
"Ariana Grande","January",45
"Ariana Grande","February",150
"Ariana Grande","March",146
"Ariana Grande","April",78
"Ariana Grande","May",52
"Ariana Grande","June",59
"Ariana Grande","July",52
"Ariana Grande","August",78
"Ariana Grande","September",18
"Ariana Grande","October",40
"Billie Eilish","January",0
"Billie Eilish","February",0
"Billie Eilish","March",3
"Billie Eilish","April",12
"Billie Eilish","May",38
"Billie Eilish","June",35
"Billie Eilish","July",76
"Billie Eilish","August",28
"Billie Eilish","September",33
"Billie Eilish","October",9
"Little Mix","January",55
"Little Mix","February",94
"Little Mix","March",120
"Little Mix","April",46
"Little Mix","May",34
"Little Mix","June",51
"Little Mix","July",25
"Little Mix","August",47
"Little Mix","September",6
"Little Mix","October",13
"Camila Cabello","January",5
"Camila Cabello","February",38
"Camila Cabello","March",26
"Camila Cabello","April",19
"Camila Cabello","May",33
"Camila Cabello","June",16
"Camila Cabello","July",9
"Camila Cabello","August",15
"Camila Cabello","September",5
"Camila Cabello","October",7
"Charli XCX","January",4
"Charli XCX","February",16
"Charli XCX","March",26
"Charli XCX","April",12
"Charli XCX","May",26
"Charli XCX","June",42
"Charli XCX","July",38
"Charli XCX","August",27
"Charli XCX","September",90
"Charli XCX","October",55